user_id,phone,status,created_at,updated_at
50,081346913810,regular,2024-01-15 08:00:00,NULL
51,087921668732,member,2024-01-15 08:00:00,NULL
52,083977827638,member,2024-01-15 08:00:00,NULL
53,089983140807,member,2024-01-15 08:00:00,NULL
54,083066722344,regular,2024-01-15 08:00:00,NULL
55,082322448136,member,2024-01-15 08:00:00,NULL
56,081571662963,member,2024-01-15 08:00:00,NULL
57,089093016315,regular,2024-01-15 08:00:00,NULL
58,083948840994,regular,2024-01-15 08:00:00,NULL
59,086895320121,regular,2024-01-15 08:00:00,NULL
60,084496977837,regular,2024-01-15 08:00:00,NULL
61,084131931511,member,2024-01-15 08:00:00,NULL
62,081740742311,regular,2024-01-15 08:00:00,NULL
63,083786125617,vip,2024-01-15 08:00:00,NULL
64,089271586053,regular,2024-01-15 08:00:00,NULL
65,087845264581,vip,2024-01-15 08:00:00,NULL
66,082778387461,member,2024-01-15 08:00:00,NULL
67,089031472420,vip,2024-01-15 08:00:00,NULL
68,088672820592,member,2024-01-15 08:00:00,NULL
69,082482070937,regular,2024-01-15 08:00:00,NULL
70,086531227574,member,2024-01-15 08:00:00,NULL
71,083278139880,regular,2024-01-15 08:00:00,NULL
72,088736697396,regular,2024-01-15 08:00:00,NULL
73,087710076758,member,2024-01-15 08:00:00,NULL
74,085651273847,regular,2024-01-15 08:00:00,NULL
75,087219289546,member,2024-01-15 08:00:00,NULL
76,088032162965,regular,2024-01-15 08:00:00,NULL
77,087936998038,vip,2024-01-15 08:00:00,NULL
78,087670597444,regular,2024-01-15 08:00:00,NULL
79,088584346088,regular,2024-01-15 08:00:00,NULL
80,089017901903,regular,2024-01-15 08:00:00,NULL
81,084047376585,vip,2024-01-15 08:00:00,NULL
82,088387337818,member,2024-01-15 08:00:00,NULL
83,082223009833,vip,2024-01-15 08:00:00,NULL
84,081697705310,vip,2024-01-15 08:00:00,NULL
85,082343374088,regular,2024-01-15 08:00:00,NULL
86,083347385696,member,2024-01-15 08:00:00,NULL
87,088023141087,regular,2024-01-15 08:00:00,NULL
88,084032321899,member,2024-01-15 08:00:00,NULL
89,081732097220,member,2024-01-15 08:00:00,NULL
90,086484593961,vip,2024-01-15 08:00:00,NULL
91,083717849494,member,2024-01-15 08:00:00,NULL
92,081716729990,member,2024-01-15 08:00:00,NULL
93,087520752378,regular,2024-01-15 08:00:00,NULL
94,084064193837,regular,2024-01-15 08:00:00,NULL
95,081593131979,regular,2024-01-15 08:00:00,NULL
96,084337415205,vip,2024-01-15 08:00:00,NULL
97,082696637649,regular,2024-01-15 08:00:00,NULL
98,088985563727,regular,2024-01-15 08:00:00,NULL
99,082656843172,regular,2024-01-15 08:00:00,NULL
